

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.015  000.015: --- NVIM STARTING ---
000.228  000.213: event init
000.359  000.131: early init
000.437  000.079: locale set
000.494  000.057: init first window
000.816  000.322: inits 1
000.846  000.030: window checked
000.851  000.005: parsing arguments
001.487  000.045  000.045: require('vim.shared')
001.600  000.047  000.047: require('vim._options')
001.603  000.111  000.063: require('vim._editor')
001.607  000.259  000.103: require('vim._init_packages')
001.612  000.503: init lua interpreter
001.708  000.096: expanding arguments
001.748  000.039: inits 2
002.079  000.332: init highlight
002.082  000.003: waiting for UI
002.320  000.237: done waiting for UI
002.328  000.009: clear screen
002.515  000.187: init default mappings & autocommands
003.207  000.062  000.062: sourcing /home/linuxbrew/.linuxbrew/Cellar/neovim/0.9.5/share/nvim/runtime/ftplugin.vim
003.270  000.029  000.029: sourcing /home/linuxbrew/.linuxbrew/Cellar/neovim/0.9.5/share/nvim/runtime/indent.vim
003.687  000.250  000.250: require('hyde.set')
003.767  000.009  000.009: require('vim.keymap')
007.185  000.242  000.242: require('vim.lsp.log')
007.862  000.672  000.672: require('vim.lsp.protocol')
009.822  000.450  000.450: require('vim.lsp._snippet')
009.959  000.132  000.132: require('vim.highlight')
009.970  000.006  000.006: require('vim.F')
009.996  002.128  001.540: require('vim.lsp.util')
010.016  003.645  000.602: require('vim.lsp.handlers')
010.713  000.693  000.693: require('vim.lsp.rpc')
010.951  000.234  000.234: require('vim.lsp.sync')
011.420  000.464  000.464: require('vim.lsp.semantic_tokens')
012.091  000.665  000.665: require('vim.lsp.buf')
012.561  000.454  000.454: require('vim.lsp.diagnostic')
013.010  000.445  000.445: require('vim.lsp.codelens')
013.118  009.191  002.590: require('vim.lsp')
013.640  009.948  000.748: require('hyde.remap')
014.471  000.679  000.679: require('lazy')
014.519  000.024  000.024: require('ffi')
014.564  000.039  000.039: require('vim.loader')
014.624  000.023  000.023: require('vim.fs')
014.868  000.283  000.261: require('lazy.stats')
015.022  000.109  000.109: require('lazy.core.util')
015.148  000.122  000.122: require('lazy.core.config')
015.417  000.110  000.110: require('lazy.core.handler')
015.597  000.175  000.175: require('lazy.core.plugin')
